Method,Sensitivity,Specificity,Accuracy,F1,AUC
Canny,0.4166,0.9466,0.8804,0.4677,0.5002 ± 0.0088
Gabor,0.6996,0.7697,0.7608,0.4251,0.8023 ± 0.0215
Color Threshold,0.7028,0.5516,0.5703,0.3091,0.7277 ± 0.0507
Fusion (weighted),0.6441,0.8712,0.8428,0.5139,0.8595 ± 0.0299
