image,sensitivity,specificity,accuracy,f1,TP,TN,FP,FN
21_training.tif,0.5326166328600406,0.9556606120925604,0.9094370567375887,0.5624022789093791,13129,192040,8910,11521
22_training.tif,0.5197315436241611,0.9409003163437535,0.8857769032790773,0.5436007230226558,15488,186191,11695,14312
23_training.tif,0.4579533941236069,0.9263680965549975,0.8817943178182807,0.4244040886878214,9944,191270,15203,11770
24_training.tif,0.4595839330105979,0.9451535794755977,0.8636694975540782,0.530828749319954,17563,179117,10394,20652
25_training.tif,0.5448143001515917,0.9142249793048473,0.8627783006834915,0.525136603704662,17251,178912,16786,14413
26_training.tif,0.9062409077684027,0.6897963521528776,0.7162360279352442,0.4382766535630425,24918,136301,61295,2578
27_training.tif,0.5383027759622993,0.9354381021861086,0.8847629331156234,0.5438212399221574,15649,185923,12832,13422
28_training.tif,0.6885342606103884,0.8950840004510091,0.8658188424604204,0.5925163979320571,22177,174647,20471,10032
29_training.tif,0.8092508472132093,0.7906208817914426,0.7928942540770493,0.48813212860575617,22447,157785,41786,5291
30_training.tif,0.7580476871352939,0.8239912206652035,0.8164825155439388,0.484716696730831,19616,165937,35445,6261
31_training.tif,0.5499321505754636,0.9397027968662779,0.9056438048142081,0.504600059950656,10942,195274,12530,8955
32_training.tif,0.49476925359845675,0.9565933288886195,0.9012509780211964,0.5456256264446581,13337,189394,8594,13619
33_training.tif,0.5711233554481052,0.9364514893638186,0.8936541113033398,0.557182820470627,15237,188282,12777,11442
34_training.tif,0.6708892123764982,0.7106020437054388,0.7049421299361708,0.39324649389552035,21661,138038,56217,10626
35_training.tif,0.7964140919893751,0.8351939869570023,0.8303198826247771,0.541252479186708,22787,166232,32802,5825
36_training.tif,0.7024021848177461,0.8681670177125744,0.8419880554712016,0.5840371670547889,25205,166109,25224,10679
37_training.tif,0.8298255955063971,0.7783558950313847,0.784889913991179,0.49481061859080383,23933,154383,43962,4908
38_training.tif,0.5489693436808653,0.9200544129620172,0.8733423509441969,0.5218044359885846,15633,181938,15809,12844
39_training.tif,0.6020883307464371,0.9123207039254289,0.8736569067088719,0.5429271240894488,17068,181654,17458,11280
40_training.tif,0.90052,0.7491162228801727,0.7657925577378907,0.4585832866527474,22513,151302,50672,2487
